vehicle type,Battery electric vehicle,
Two/three-wheelers,48,0
Light-duty vehicles,9,2
Buses,10,2
Trucks,0.3,0.4
,,
,,
,,
,,
,,
,,
Vehicle type,Plug-in hybrid electric vehicle,
Two/three-wheelers ,58,0
Light-duty vehicles ,25,5
Buses ,21,8
Trucks ,2,2
